OBJECTID,State,Segment,stTranNum,MHW,dVol,dMean,dDensity,Start_Date,End_Date,dMHW_Vol,dDensityMHW,dMHW_Vol2,dDensityMHW2,dMHW,dMHW_Rate,mapPlot,Shape_Length_1,Shape_Area_1,Start_Date,End_Date,Shape,Shape.STArea(),Shape.STLength(),GlobalID,created_user,created_date,last_edited_user,last_edited_date,x,y
42,VA,12,1828,0.25999999,-1546,-0.08,-4.7,20140720,20161101,-1500,-4.5,-1499,-4.6,-7.83980344,-11.25107348,75,4247.53139957,248696.75151023,,,,0.000025050551869191007,0.04673843362797112,{2331B5EF-D4D3-4451-881A-83C171828FE6},,,,,,
43,VA,12,1829,0.25999999,-440,-0.02,-1.3,20140720,20161101,-391,-1.2,-391,-1.2,-7.31841274,-10.50281428,75,4237.04857172,238157.60804508,,,,0.000023988588611355506,0.04668966251882957,{9C9C802C-2446-4A9D-AB26-E669DC3A2C85},,,,,,
44,VA,12,1830,0.25999999,789,0.04,2.4,20140720,20161101,611,1.8,610,1.8,-1.67420018,-2.40268132,75,4198.67952289,199913.0623663,,,,0.000020136010752980505,0.04635953345455757,{9373797D-CDE6-4F95-A5D7-DA3CF5A687FF},,,,,,
45,VA,12,1831,0.25999999,1206,0.06,3.7,20140720,20161101,1010,3.1,1009,3.1,7.19509852,10.32584334,75,4198.70266793,199933.08612024,,,,0.000020137931164262007,0.04635915643844571,{03BE8808-061B-49B9-B200-50697A631AD1},,,,,,
46,VA,12,1832,0.25999999,547,0.03,1.7,20140720,20161101,550,1.7,550,1.7,1.80418996,2.5892325,75,4198.69364748,199921.63401325,,,,0.000020136513047115505,0.04635843629368435,{11068BD7-0728-4380-A166-E86B380D6E7A},,,,,,
47,VA,12,1833,0.25999999,-462,-0.02,-1.4,20140720,20161101,-693,-2.1,-693,-2.1,-2.35425819,-3.37864745,75,4198.69007034,199924.23262232,,,,0.000020136574575935006,0.04635803844289039,{6B7C66F6-D747-4735-9667-7F2309AB3355},,,,,,
48,VA,12,1834,0.25999999,291,0.01,0.9,20140720,20161101,0,,-282,-0.8,4.16379813,5.97555782,75,4198.6944879,199921.95218571,,,,0.000020136141239282505,0.046357484425493325,{19A76435-BB8C-4150-B08B-C23DC921D56B},,,,,,
4648,NC,1,1,0.25999999,-2828,-0.29,-8.6,20140601,20161101,-3393,-10.4,-3357,-10.3,,0,1,,,,,,0.000015102180375256004,0.03498360521478098,{14086F17-DE81-4AED-AFA9-7C90213F695A},,,,,,
4649,NC,1,2,0.25999999,-5192,-0.57,-15.8,20140601,20161101,-5277,-16.1,-5278,-16.1,1.47980539,2.00598464,1,,,,,,0.000022192091116100007,0.03592048631644452,{BBB8257C-648E-4DA5-8CEC-DC23DBB8D782},,,,,,
4650,NC,1,3,0.25999999,-6175,-0.77,-18.8,20140601,20161101,-6436,-19.6,-6436,-19.6,-1.381321,-1.87248183,1,,,,,,0.000019409539950075004,0.035685343609608136,{E77471E4-7D28-4118-A2DE-D1C4A374D42E},,,,,,
4651,NC,1,4,0.25999999,-4979,-0.78,-15.2,20140601,20161101,-5542,-16.8,-5531,-16.8,-1.89408612,-2.56757252,1,,,,,,0.000015101285151447503,0.03519348187807774,{CDF697D0-768F-4088-A0FC-8106C4B8E803},,,,,,
4652,NC,1,5,0.25999999,-3433,-0.53,-10.5,20140601,20161101,-3742,-11.4,-3743,-11.4,-11.1844021,-15.16127657,1,,,,,,0.000015101750856647505,0.03519300366640377,{3D1712D9-D1BC-457F-BEFD-C0F58A93305D},,,,,,
4653,NC,1,6,0.25999999,-2452,-0.3,-7.5,20140601,20161101,-2459,-7.5,-2460,-7.5,-11.39274001,-15.44369387,1,,,,,,0.000015100797859740504,0.03519259760889235,{A3E07990-D744-41D5-9164-8D4F35D03267},,,,,,
4654,NC,1,7,0.25999999,-1499,-0.17,-4.6,20140601,20161101,-1509,-4.6,-1509,-4.6,-1.37442792,-1.86313776,1,,,,,,0.000015100844726627004,0.03519227772337666,{CE292840-D137-4540-A484-4EA0020A831E},,,,,,
4655,NC,1,8,0.25999999,386,0.04,1.2,20140601,20161101,407,1.3,409,1.3,-3.39350572,-4.60014565,1,,,,,,0.000015100371507888503,0.035191980408684244,{06BA5C93-A5F3-4FA4-8F4C-E1E8BCE5BBAB},,,,,,
4656,NC,1,9,0.25999999,3046,0.31,9.3,20140601,20161101,1997,6.1,1997,6.1,3.93630697,5.33595253,1,,,,,,0.000015101188551625004,0.035191663240696065,{4CBAFB59-FA36-4F30-8749-E781F05A1E96},,,,,,
4657,NC,1,10,0.25999999,3519,0.35,10.7,20140601,20161101,1206,3.7,1206,3.7,13.65522642,18.51065998,1,,,,,,0.000015100152869502004,0.03519105747932661,{1D5D0EF4-CB82-47B2-8ACA-2D68A9E3E8F9},,,,,,
4658,NC,1,11,0.25999999,1565,0.16,4.8,20140601,20161101,223,0.7,221,0.7,16.76968429,22.73253582,1,,,,,,0.000015100002162710004,0.03519070725352794,{9FE7F037-7BE5-4D51-A4DE-85C158DECDBE},,,,,,
4659,NC,1,12,0.25999999,3198,0.36,9.7,20140601,20161101,2207,6.7,2207,6.7,14.82931306,20.10222044,1,,,,,,0.000015099911339882503,0.03519039581397392,{CDC115D3-4A9F-4714-BF86-A2576508840F},,,,,,
4660,NC,1,13,0.25999999,2536,0.28,7.7,20140601,20161101,1150,3.5,1150,3.5,13.09089221,17.7456636,1,,,,,,0.000015100320100908504,0.03519003464153084,{F9E54FEA-D6C1-41D3-A1DE-ECDD658C605B},,,,,,
4661,NC,1,14,0.25999999,-314,-0.04,-1,20140601,20161101,-1011,-3,-1011,-3,14.58673008,19.77338143,1,,,,,,0.000015098739938704504,0.035189634776367315,{F9609073-8894-4E35-9CBC-12A8F2522EE3},,,,,,
4662,NC,1,15,0.25999999,-699,-0.09,-2.1,20140601,20161101,-586,-1.8,-580,-1.8,-4.04077614,-5.47756814,1,,,,,,0.000015099298833293005,0.03518928589092661,{7A893AA6-A90F-47CD-9806-BED65545712C},,,,,,
4663,NC,1,16,0.25999999,971,0.11,3,20140601,20161101,239,0.7,8,0,6.72156722,9.11157688,1,,,,,,0.000015099267879968503,0.03518883752628883,{9CC044F0-70B0-4573-933C-17019F68F77E},,,,,,
4664,NC,1,17,0.25999999,3474,0.38,10.6,20140601,20161101,823,2.5,1056,3.3,,0,1,,,,,,0.000015098853452425503,0.035188394319463835,{70929B07-2E10-40FF-8595-11E3057C96DA},,,,,,
4665,NC,1,18,0.25999999,1424,0.13,4.3,20140601,20161101,-315,-1,-315,-1,23.16231938,31.3982211,1,,,,,,0.000015099637202375004,0.03518812161634874,{F88A98F2-B024-4843-BD1C-0CE71E890048},,,,,,
4666,NC,1,19,0.25999999,1000,0.08,3,20140601,20161101,-310,-1,-311,-1,11.46017313,15.5351044,1,,,,,,0.000015098628928398003,0.03518778534254223,{A432C5CE-DA6E-469D-98F7-F3E0AD1A97DE},,,,,,
4667,NC,1,20,0.25999999,1904,0.15,5.8,20140601,20161101,344,1,338,1,9.03401483,12.24626906,1,,,,,,0.000015098502327554004,0.035187333159843424,{43EC5DCD-18F4-4C17-B9F0-DE4DE28AA6EE},,,,,,
4668,NC,1,21,0.25999999,2240,0.17,6.8,20140601,20161101,591,1.8,591,1.8,16.99314842,23.03545782,1,,,,,,0.000015098367861558504,0.03518698093640814,{16704AC4-385D-4A59-AF8C-F6420D4F5B3E},,,,,,
4669,NC,1,22,0.25999999,1707,0.13,5.2,20140601,20161101,210,0.6,210,0.6,21.9070237,29.69657582,1,,,,,,0.000015098747988504004,0.03518664316950886,{E6B43FEB-2E43-422E-8C2A-A701A5B08508},,,,,,
4670,NC,1,23,0.25999999,160,0.01,0.5,20140601,20161101,-228,-0.7,-228,-0.7,7.71401504,10.45691262,1,,,,,,0.000015097951759925503,0.035186266010267905,{6858F75A-1B0A-4310-AD1D-3E4EE474CF72},,,,,,
4671,NC,1,24,0.25999999,1151,0.09,3.5,20140601,20161101,522,1.6,523,1.6,9.91015543,13.43394183,1,,,,,,0.000015097901790452005,0.03518585839472887,{882AD64A-1D12-4975-B1C0-30F82CEBD863},,,,,,
4672,NC,1,25,0.25999999,1384,0.11,4.2,20140601,20161101,644,1.9,644,1.9,7.85790742,10.65196928,1,,,,,,0.000015097529755530004,0.035185449114802,{B6C17CE0-A844-4830-B107-ED65215548D3},,,,,,
4673,NC,1,26,0.25999999,1241,0.1,3.8,20140601,20161101,622,1.9,622,1.9,9.36966946,12.7012735,2,,,,,,0.000015097553593638503,0.0351851591629791,{3132858A-CFE0-4370-89B6-328C8102F7F4},,,,,,
4674,NC,1,27,0.25999999,2499,0.19,7.6,20140601,20161101,1653,5.1,1653,5.1,10.28845353,13.94675262,2,,,,,,0.000015097913573366005,0.03518480251316521,{0CAE8624-0AF4-47F3-A1F2-0D94227BE08A},,,,,,
4675,NC,1,28,0.25999999,2368,0.18,7.2,20140601,20161101,1411,4.3,1410,4.3,14.85026038,20.13061607,2,,,,,,0.000015097164681468504,0.035184408789886115,{B5F292A2-CABC-4065-9227-84B541E10031},,,,,,
4676,NC,1,29,0.25999999,1363,0.1,4.2,20140601,20161101,503,1.5,504,1.5,9.34052158,12.66176141,2,,,,,,0.000015096338342484505,0.03518392658529278,{C21D689F-AB28-416D-A13F-86FAACE115AA},,,,,,
4677,NC,1,30,0.25999999,1484,0.11,4.5,20140601,20161101,405,1.2,406,1.2,6.25882215,8.48429202,2,,,,,,0.000015096686131754004,0.03518369241211491,{F70BFAC2-F1BA-4771-B5EF-B283FBFCA260},,,,,,
4678,NC,1,31,0.25999999,2432,0.18,7.4,20140601,20161101,904,2.7,905,2.7,8.49147842,11.51082119,2,,,,,,0.000015097462534605504,0.035183350678054566,{DBED2113-4A12-4524-ACC3-0089B0ECD22A},,,,,,
4679,NC,1,32,0.25999999,2058,0.15,6.3,20140601,20161101,799,2.4,799,2.4,6.22568936,8.4393781,2,,,,,,0.000015096431172549004,0.035182776783710734,{6699126D-8030-441C-97DB-4C5DF171CD3B},,,,,,
4680,NC,1,33,0.25999999,2651,0.19,8.1,20140601,20161101,1677,5.1,1679,5.1,1.98539087,2.6913428,2,,,,,,0.000015096272094418004,0.03518243161432303,{F912638E-FD35-4850-ADA8-E2EE127DA5F2},,,,,,
4681,NC,1,34,0.25999999,3010,0.23,9.2,20140601,20161101,2460,7.5,2461,7.5,3.15902537,4.28229036,2,,,,,,0.000015096041981004004,0.035182030557016165,{5B021680-4651-477F-A792-C5D10537F9DA},,,,,,
4682,NC,1,35,0.25999999,2746,0.22,8.4,20140601,20161101,2940,9,2929,8.9,-4.93744483,-6.69306825,2,,,,,,0.000015096645000079504,0.0351817808682999,{A1DF7FDB-7228-4DD0-8AA6-2FD6294A3911},,,,,,
4683,NC,1,36,0.25999999,4024,0.33,12.3,20140601,20161101,3938,12,3937,12,-6.89447972,-9.34597244,2,,,,,,0.000015095868771578003,0.03518152432861456,{8B7E8F53-DFB2-49DB-85EF-B71F955BBC5D},,,,,,
4684,NC,1,37,0.25999999,5870,0.45,17.9,20140601,20161101,5324,16.2,5323,16.2,8.38238256,11.36293376,2,,,,,,0.000015095582032974504,0.03518091664544306,{B88D0152-9835-4135-9B25-87754B0899D7},,,,,,
4685,NC,1,38,0.25999999,3850,0.32,11.7,20140601,20161101,3771,11.5,3771,11.5,0.62373675,0.84552087,2,,,,,,0.000015095411106636504,0.03518064437736269,{15955A74-4F37-49F6-8C85-B9D1CF0E8694},,,,,,
4686,NC,1,39,0.25999999,4518,0.36,13.8,20140601,20161101,4413,13.4,4412,13.4,2.66761834,3.61615212,2,,,,,,0.000015095214605762005,0.03518018640958204,{11308E7C-A42D-437C-BBDE-E85E593C1637},,,,,,
4687,NC,1,40,0.25999999,4487,0.34,13.7,20140601,20161101,4533,13.8,4530,13.8,-7.354565,-9.96965175,2,,,,,,0.000015095897082649003,0.035179811627568024,{ACE3F991-1B60-45EF-A716-7F92C6EA7B35},,,,,,
4688,NC,1,41,0.25999999,4640,0.34,14.1,20140601,20161101,4690,14.3,4690,14.3,-3.75687262,-5.09271611,2,,,,,,0.000015094893592563004,0.03517949310310576,{BEA4DF58-FE7A-4784-A6AD-1C0D8D9F7BA9},,,,,,
4689,NC,1,42,0.25999999,5282,0.38,16.1,20140601,20161101,5325,16.2,5325,16.2,-1.39500385,-1.89102993,2,,,,,,0.000015094781789401504,0.03517904229156629,{040B01F8-9716-4689-80F6-DD5028E879AB},,,,,,
4690,NC,1,43,0.25999999,5724,0.41,17.4,20140601,20161101,5733,17.5,5732,17.5,-4.51046097,-6.11426034,2,,,,,,0.000015093879811834004,0.03517860356883258,{FB69D7CF-CB4F-4F19-A323-C7B79CEBCA29},,,,,,
4691,NC,1,44,0.25999999,6133,0.42,18.7,20140601,20161101,5971,18.2,5970,18.2,2.67718192,3.62911626,2,,,,,,0.000013120189420800503,0.034925198592154434,{0ABF8796-E7DF-45D1-AB06-E0F09E14D63A},,,,,,
4692,NC,1,45,0.25999999,6040,0.38,18.4,20140601,20161101,5165,15.8,5165,15.8,10.94433946,14.83585407,2,,,,,,0.000013121031096194003,0.03489391779397578,{8D80DBB0-7D54-43DD-B882-583828A91662},,,,,,
4693,NC,1,46,0.25999999,4313,0.28,13.1,20140601,20161101,3855,11.8,3856,11.8,9.15093138,12.40475801,2,,,,,,0.000015093722113094504,0.035116869737150724,{493661AB-851E-4F2E-A650-56BC2D123E05},,,,,,
4694,NC,1,47,0.25999999,2932,0.19,8.9,20140601,20161101,2810,8.5,2810,8.5,2.55659404,3.46565055,2,,,,,,0.000015093642287965504,0.03511635065160536,{C16CC2E8-EF47-4814-BBFA-962226C70487},,,,,,
4695,NC,1,48,0.25999999,4525,0.29,13.8,20140601,20161101,3943,12,3944,12,7.09270475,9.614681,2,,,,,,0.000015094232565021504,0.03511608603966931,{552C3F68-9FC0-4378-8C9C-AB7E26A47737},,,,,,
4696,NC,1,49,0.25999999,4022,0.26,12.3,20140601,20161101,3650,11.1,3650,11.1,9.339522,12.66040641,2,,,,,,0.000015093262820112003,0.03511564148180936,{02B6A5B1-D2A7-4B8C-8B6C-BBB4A0F92E0C},,,,,,
4697,NC,1,50,0.25999999,4060,0.26,12.4,20140601,20161101,3550,10.8,3550,10.9,2.60997828,3.5380168,2,,,,,,0.000015093872018800004,0.035115380804269666,{73521AA0-1BFA-4646-91BC-51CB461E3E91},,,,,,
4698,NC,1,51,0.25999999,4258,0.27,13,20140601,20161101,3705,11.3,3706,11.3,7.94581948,10.77114052,3,,,,,,0.000015093689838648504,0.03511502007946634,{120C1063-98E0-4442-9BB2-20B96878E6EB},,,,,,
4699,NC,1,52,0.25999999,4413,0.28,13.5,20140601,20161101,3879,11.8,3879,11.8,7.89936694,10.7081707,3,,,,,,0.000015092904426181504,0.035114591112631204,{23E73BA0-DA10-4E58-BA54-27E4C0B0CE68},,,,,,
4700,NC,1,53,0.25999999,2124,0.14,6.5,20140601,20161101,1949,5.9,1949,5.9,6.12958953,8.30910775,3,,,,,,0.000015093438566506004,0.03511436741156649,{B4B50918-1560-4BA7-8289-2061EF64648B},,,,,,
4701,NC,1,54,0.25999999,2882,0.19,8.8,20140601,20161101,2660,8.2,2660,8.2,3.26072954,4.42015782,3,,,,,,0.000015092538631377004,0.035113950374531674,{D1046D0C-6F0E-4506-9E64-3BACF370EBA8},,,,,,
4702,NC,1,55,0.25999999,3919,0.26,11.9,20140601,20161101,3734,11.4,3734,11.4,9.85059846,13.353208,3,,,,,,0.000015092201495510503,0.035113546015696856,{E15B22D8-4147-46C0-A6A4-F3333471DDBA},,,,,,
4703,NC,1,56,0.25999999,4254,0.31,13,20140601,20161101,4285,13,4286,13,-0.84787129,-1.14935166,3,,,,,,0.000015092123665750004,0.035113005621313836,{5CEC59C9-AD6E-46F1-A247-4AE75BAC7AE9},,,,,,
4704,NC,1,57,0.25999999,4491,0.31,13.7,20140601,20161101,4229,12.9,4230,12.9,3.81835045,5.17605382,3,,,,,,0.000015092716236752504,0.03511273807363213,{CA8E2DD6-A9A2-4BD4-A9F1-A419690CB706},,,,,,
4705,NC,1,58,0.25999999,4713,0.32,14.4,20140601,20161101,4365,13.3,4365,13.3,3.8127877,5.1685131,3,,,,,,0.000015091816231172504,0.035112300862258645,{7ECD2F19-19D8-4330-B854-595716B2AE55},,,,,,
4706,NC,1,59,0.25999999,4566,0.33,13.9,20140601,20161101,4221,12.9,4221,12.9,11.69364663,15.85159483,3,,,,,,0.000015092266286612004,0.035112040520340594,{1BCB80D4-4077-467B-BB4F-8C92A2831918},,,,,,
4707,NC,1,60,0.25999999,2080,0.16,6.3,20140601,20161101,1917,5.8,1916,5.8,6.21852473,8.42966592,3,,,,,,0.000015091454254127005,0.0351116141676405,{6DA0459F-1B05-47F3-97E2-3E219512255B},,,,,,
4708,NC,1,61,0.25999999,1290,0.1,3.9,20140601,20161101,1120,3.4,1119,3.4,7.62543548,10.33683653,3,,,,,,0.000015092108076187504,0.03511143589826742,{EA600F14-A2C5-4E92-9467-3A12DA1926B6},,,,,,
4709,NC,1,62,0.25999999,2486,0.19,7.6,20140601,20161101,2248,6.9,2248,6.9,4.34571156,5.89093044,3,,,,,,0.000015091193930264503,0.03511110370824848,{D8F7782A-2548-4D01-8FD8-4B7E5BEB3D27},,,,,,
4710,NC,1,63,0.25999999,2459,0.19,7.5,20140601,20161101,1906,5.9,1906,5.9,14.28736496,19.36757009,3,,,,,,0.000015090853083325504,0.03511069355350769,{FD2039DD-1C07-4239-A3D5-50B5FEED71F7},,,,,,
4711,NC,1,64,0.25999999,2244,0.17,6.8,20140601,20161101,1831,5.5,1831,5.6,21.85977114,29.63252151,3,,,,,,0.000015090777558103504,0.035110057421102736,{8A9896F8-EA60-45E2-8C02-9A84FD31EC66},,,,,,
4712,NC,1,65,0.25999999,1563,0.12,4.8,20140601,20161101,1193,3.6,1193,3.6,16.63900363,22.55538861,3,,,,,,0.000018245497600001004,0.035517095822516664,{0097DEA2-9BC4-47FA-86B6-11938B408BFB},,,,,,
